Entry	Entry name	Protein names	InterPro	Gene ontology IDs	Gene ontology (GO)	Gene names	EC number	Pathway	Protein existence	Organism	Organism ID
A0A6L0XJS2	A0A6L0XJS2_LEIIN	ADF/Cofilin	IPR002108; IPR029006; IPR017904; 	GO:0003779; GO:0015629; GO:0030042	actin cytoskeleton [GO:0015629]; actin binding [GO:0003779]; actin filament depolymerization [GO:0030042]	LINF_290010100			Predicted	Leishmania infantum	5671
A0A6L0WI40	A0A6L0WI40_LEIIN	Carbonic_anhydrase_family_protein_-_putative	IPR001765; IPR015892; IPR036874; 	GO:0004089; GO:0008270; GO:0015976	carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]; carbon utilization [GO:0015976]	LINF_060011700			Predicted	Leishmania infantum	5671
A4IA67	A4IA67_LEIIN	Uncharacterized protein	IPR016035; IPR033562; 	GO:0016021; GO:0016042; GO:0016787	integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]; lipid catabolic process [GO:0016042]	LINJ_34_2740			Predicted	Leishmania infantum	5671
A0A6L0XM36	A0A6L0XM36_LEIIN	Dihydrolipoamide_dehydrogenase_-_putative	IPR036188; IPR023753; IPR016156; IPR006258; IPR001100; IPR004099; IPR012999; 	GO:0004148; GO:0045454; GO:0050660	dihydrolipoyl dehydrogenase activity [GO:0004148]; flavin adenine dinucleotide binding [GO:0050660]; cell redox homeostasis [GO:0045454]	LINF_320040600			Predicted	Leishmania infantum	5671
A0A6L0XJM9	A0A6L0XJM9_LEIIN	Heat_shock_protein_100_kDa	IPR003593; IPR003959; IPR019489; IPR036628; IPR004176; IPR001270; IPR018368; IPR028299; IPR041546; IPR027417; 	GO:0005524; GO:0008233; GO:0016887	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; peptidase activity [GO:0008233]	LINF_290018600			Predicted	Leishmania infantum	5671
A0A6L0XPY2	A0A6L0XPY2_LEIIN	Calcium-transporting_ATPase_-_putative	IPR006068; IPR004014; IPR023299; IPR018303; IPR023298; IPR008250; IPR036412; IPR023214; IPR001757; IPR044492; 	GO:0005524; GO:0016021; GO:0016787	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	LINF_330017500			Predicted	Leishmania infantum	5671
A0A6L0XZJ7	A0A6L0XZJ7_LEIIN	Tyrosine_phosphatase_isoform_-_putative	IPR035892; IPR029021; IPR045102; IPR014020; IPR029023; IPR016130; IPR000387; 	GO:0004725; GO:0008138; GO:0016021	integral component of membrane [GO:0016021]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]	LINF_340021500			Predicted	Leishmania infantum	5671
A0A6L0X546	A0A6L0X546_LEIIN	Cullin_family /Cullin_protein_neddylation_domain_containing_protein_-_putative	IPR045093; IPR016157; IPR016158; IPR036317; IPR001373; IPR019559; IPR016159; IPR036388; IPR036390; 	GO:0006511; GO:0031461; GO:0031625	cullin-RING ubiquitin ligase complex [GO:0031461]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-dependent protein catabolic process [GO:0006511]	LINF_160018000			Predicted	Leishmania infantum	5671
A0A6L0XM01	A0A6L0XM01_LEIIN	Phosphatidylinositol_kinase_-_putative	IPR011009; IPR000403; IPR036940; IPR015433; IPR000306; IPR017455; IPR011011; IPR013083; 	GO:0016303; GO:0046872; GO:0048015	1-phosphatidylinositol-3-kinase activity [GO:0016303]; metal ion binding [GO:0046872]; phosphatidylinositol-mediated signaling [GO:0048015]	LINF_300023300			Predicted	Leishmania infantum	5671
A0A6L0XPY1	A0A6L0XPY1_LEIIN	Flagellar_Member_8		GO:0031514	motile cilium [GO:0031514]	LINF_330040500			Predicted	Leishmania infantum	5671
A4I3M6	A4I3M6_LEIIN	Putative target SNARE	IPR010989; IPR006011; 	GO:0016020; GO:0016192	membrane [GO:0016020]; vesicle-mediated transport [GO:0016192]	LINJ_28_1590			Predicted	Leishmania infantum	5671
A0A6L0XSA6	A0A6L0XSA6_LEIIN	WD_domain_-_G-beta_repeat/Sof1 -like_domain_containing_protein_-_putative	IPR020472; IPR007287; IPR015943; IPR001680; IPR019775; IPR036322; 	GO:0005730; GO:0005840; GO:0016567	nucleolus [GO:0005730]; ribosome [GO:0005840]; protein ubiquitination [GO:0016567]	LINF_350044200			Predicted	Leishmania infantum	5671
A4HTX3	A4HTX3_LEIIN	Uncharacterized protein	IPR001748; 	GO:0005634	nucleus [GO:0005634]	LINJ_09_0410			Inferred from homology	Leishmania infantum	5671
A0A6L0X229	A0A6L0X229_LEIIN	Polo-like_protein_kinase_-_putative	IPR011009; IPR033701; IPR033695; IPR000959; IPR036947; IPR000719; IPR017441; IPR008271; 	GO:0004674; GO:0004712; GO:0005524	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]	LINF_170013700			Predicted	Leishmania infantum	5671
A0A6L0XN63	A0A6L0XN63_LEIIN	Hypothetical_protein_-_conserved		GO:0016021	integral component of membrane [GO:0016021]	LINF_330038300			Predicted	Leishmania infantum	5671
A4I9H3	A4I9H3_LEIIN	Uncharacterized protein	IPR008429; IPR030434; 	GO:0016021	integral component of membrane [GO:0016021]	LINJ_34_0050			Inferred from homology	Leishmania infantum	5671
A4ICD8	A4ICD8_LEIIN	Putative eukaryotic translation initiation factor 3 subunit 8	IPR027516; IPR008905; 	GO:0003743; GO:0005852; GO:0031369	eukaryotic translation initiation factor 3 complex [GO:0005852]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]	LINJ_36_7320			Predicted	Leishmania infantum	5671
E9AGQ5	E9AGQ5_LEIIN	Putative heat shock protein	IPR043129; IPR029048; IPR029047; IPR013126; 	GO:0005524; GO:0016887; GO:0043226	organelle [GO:0043226]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	LINJ_18_1350			Predicted	Leishmania infantum	5671
A4I2J8	A4I2J8_LEIIN	Uncharacterized protein	IPR019170; 	GO:0016021; GO:0036038; GO:0060271	integral component of membrane [GO:0016021]; MKS complex [GO:0036038]; cilium assembly [GO:0060271]	LINJ_27_0020			Predicted	Leishmania infantum	5671
A0A6L0XMP4	A0A6L0XMP4_LEIIN	Deoxyribodipyrimidine_photo-lyase_-_putative	IPR036134; IPR036155; IPR005101; IPR002081; IPR006050; IPR014729; 	GO:0003904; GO:0018298; GO:0051716	deoxyribodipyrimidine photo-lyase activity [GO:0003904]; cellular response to stimulus [GO:0051716]; protein-chromophore linkage [GO:0018298]	LINF_330011200			Predicted	Leishmania infantum	5671
A0A6L0WH60	A0A6L0WH60_LEIIN	Ubiquitin-like_domain_containing_protein_-_putative	IPR001611; IPR032675; IPR044994; IPR000626; IPR029071; IPR044079; 	GO:0005929; GO:0006457; GO:0043014	cilium [GO:0005929]; alpha-tubulin binding [GO:0043014]; protein folding [GO:0006457]	LINF_030012700			Predicted	Leishmania infantum	5671
A4ID25	A4ID25_LEIIN	Uncharacterized protein	IPR045116; IPR032319; IPR027417; 	GO:0005524; GO:0006396; GO:0051731	ATP binding [GO:0005524]; polynucleotide 5'-hydroxyl-kinase activity [GO:0051731]; RNA processing [GO:0006396]	LINJ_36_3900			Predicted	Leishmania infantum	5671
A4IAR6	A4IAR6_LEIIN	Uncharacterized protein	IPR018108; IPR023395; 	GO:0016021	integral component of membrane [GO:0016021]	LINJ_35_0150			Inferred from homology	Leishmania infantum	5671
A4IDP2	A4IDP2_LEIIN	Uncharacterized protein	IPR029058; IPR010126; 	GO:0005576; GO:0016021; GO:0016787	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]	LINJ_36_4870			Predicted	Leishmania infantum	5671
A0A6L0WQM4	A0A6L0WQM4_LEIIN	Mitochondrial_DNA_polymerase_I_protein_B_-_putative	IPR001098; IPR043502; IPR002298; IPR013520; IPR012337; IPR036397; 	GO:0003677; GO:0003887; GO:0006261	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; DNA-dependent DNA replication [GO:0006261]	LINF_130005700			Predicted	Leishmania infantum	5671
A4IBD1	A4IBD1_LEIIN	Uncharacterized protein	IPR020103; IPR001656; IPR042214; 	GO:0001522; GO:0003723; GO:0009982	pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; pseudouridine synthesis [GO:0001522]	LINJ_35_2680			Predicted	Leishmania infantum	5671
A0A6L0XG37	A0A6L0XG37_LEIIN	6-O-methylguanine_DNA_methyltransferase_-_DNA_binding_domain_containing_protein_-_putative	IPR001497; IPR014048; IPR036217; IPR036388; 	GO:0003908; GO:0006281; GO:0032259	methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908]; DNA repair [GO:0006281]; methylation [GO:0032259]	LINF_260023300			Predicted	Leishmania infantum	5671
A4I143	A4I143_LEIIN	Beta galactofuranosyl transferase	IPR001173; IPR029044; 	GO:0016021; GO:0016740	integral component of membrane [GO:0016021]; transferase activity [GO:0016740]	LPG1 LINJ_25_0010			Predicted	Leishmania infantum	5671
A4I709	A4I709_LEIIN	Metallo-peptidase, Clan MA(E), Family M1	IPR045357; IPR042097; IPR014782; IPR027268; 	GO:0004177; GO:0008237; GO:0008270	aminopeptidase activity [GO:0004177]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]	LINJ_31_2330			Predicted	Leishmania infantum	5671
A4HWR8	A4HWR8_LEIIN	Uncharacterized protein	IPR007174; 	GO:0004519; GO:0006364; GO:0090730	Las1 complex [GO:0090730]; endonuclease activity [GO:0004519]; rRNA processing [GO:0006364]	LINJ_16_0200			Predicted	Leishmania infantum	5671
A0A6L0XQL1	A0A6L0XQL1_LEIIN	Protein_phosphatase_2C-like_protein	IPR015655; IPR000222; IPR036457; IPR001932; 	GO:0046872; GO:0106306; GO:0106307	metal ion binding [GO:0046872]; protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]	LINF_340030900			Predicted	Leishmania infantum	5671
A0A6L0XRZ7	A0A6L0XRZ7_LEIIN	Clathrin_coat_assembly_protein-like_protein	IPR036168; IPR043532; IPR001392; IPR011012; IPR028565; 	GO:0006886; GO:0016192; GO:0030131	clathrin adaptor complex [GO:0030131]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	LINF_360038400			Predicted	Leishmania infantum	5671
A0A6L0XIV7	A0A6L0XIV7_LEIIN	Hypothetical_protein_-_conserved		GO:0016021	integral component of membrane [GO:0016021]	LINF_280007500			Predicted	Leishmania infantum	5671
A4IAW8	A4IAW8_LEIIN	Uncharacterized protein	IPR036691; IPR005135; 	GO:0004519; GO:0004527; GO:0016021	integral component of membrane [GO:0016021]; endonuclease activity [GO:0004519]; exonuclease activity [GO:0004527]	LINJ_35_0720			Predicted	Leishmania infantum	5671
A0A6L0XJR9	A0A6L0XJR9_LEIIN	MutS-like_protein	IPR000432; IPR007696; IPR036187; IPR045076; IPR027417; 	GO:0005524; GO:0006298; GO:0030983	ATP binding [GO:0005524]; mismatched DNA binding [GO:0030983]; mismatch repair [GO:0006298]	LINF_290023800			Predicted	Leishmania infantum	5671
E9AGI5	E9AGI5_LEIIN	Uncharacterized protein	IPR032816; IPR045014; 	GO:0016021	integral component of membrane [GO:0016021]	LINJ.12.0810			Predicted	Leishmania infantum	5671
A4I9J2	A4I9J2_LEIIN	Uncharacterized protein	IPR015720; IPR009038; 	GO:0016021	integral component of membrane [GO:0016021]	LINJ_34_0240			Inferred from homology	Leishmania infantum	5671
A0A6L0XH61	A0A6L0XH61_LEIIN	Transcription_elongation_regulator-like_protein	IPR005824; IPR005100; IPR036735; IPR039385; IPR014722; IPR039659; IPR008991; 	GO:0005634; GO:0006357; GO:0032784	nucleus [GO:0005634]; regulation of DNA-templated transcription, elongation [GO:0032784]; regulation of transcription by RNA polymerase II [GO:0006357]	LINF_270030300			Predicted	Leishmania infantum	5671
A0A6L0XPZ8	A0A6L0XPZ8_LEIIN	Formate--tetrahydrofolate_ligase	IPR000559; IPR020628; IPR027417; 	GO:0004329; GO:0005524; GO:0035999	ATP binding [GO:0005524]; formate-tetrahydrofolate ligase activity [GO:0004329]; tetrahydrofolate interconversion [GO:0035999]	LINF_300031100			Inferred from homology	Leishmania infantum	5671
A4I6N6	A4I6N6_LEIIN	Uncharacterized protein	IPR015720; IPR009038; 	GO:0016021	integral component of membrane [GO:0016021]	LINJ_31_1120			Inferred from homology	Leishmania infantum	5671
A0A6L0XHS9	A0A6L0XHS9_LEIIN	Heat_shock_70-related_protein_1_-_mitochondrial_precursor_-_putative	IPR043129; IPR042050; IPR018181; IPR029048; IPR029047; IPR013126; 	GO:0005524; GO:0005783; GO:0016887	endoplasmic reticulum [GO:0005783]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	LINF_280017800			Predicted	Leishmania infantum	5671
A4HZ72	A4HZ72_LEIIN	Uncharacterized protein	IPR016181; IPR004616; IPR042203; 	GO:0005737; GO:0008914; GO:0030163	cytoplasm [GO:0005737]; leucyltransferase activity [GO:0008914]; protein catabolic process [GO:0030163]	LINJ_21_0790			Predicted	Leishmania infantum	5671
A0A6L0XNG0	A0A6L0XNG0_LEIIN	Flagellar_Member_8		GO:0031514	motile cilium [GO:0031514]	LINF_330040700			Predicted	Leishmania infantum	5671
A0A6L0WHP8	A0A6L0WHP8_LEIIN	GTPase_-_putative	IPR030378; IPR006073; IPR023179; IPR024929; IPR012971; IPR027417; 	GO:0005525; GO:0005730; GO:0016787	nucleolus [GO:0005730]; GTP binding [GO:0005525]; hydrolase activity [GO:0016787]	LINF_050009600			Predicted	Leishmania infantum	5671
A0A6L0XM04	A0A6L0XM04_LEIIN	Pentamidine_resistance_protein_1	IPR003593; IPR011527; IPR036640; IPR003439; IPR017871; IPR044746; IPR044726; IPR027417; 	GO:0005524; GO:0016021; GO:0140359	integral component of membrane [GO:0016021]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]	LINF_310019500			Predicted	Leishmania infantum	5671
A0A6L0XPJ7	A0A6L0XPJ7_LEIIN	Translation_initiation_factor_IF-2_-_putative	IPR027417; IPR005225; IPR000795; IPR015760; IPR023115; 	GO:0003743; GO:0003924; GO:0005525	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation initiation factor activity [GO:0003743]	LINF_240018700			Predicted	Leishmania infantum	5671
A0A6L0XSQ2	A0A6L0XSQ2_LEIIN	6-phosphofructo-2-kinase/fructose-2_-6 -bisphosphatas_-_putative	IPR003094; IPR013078; IPR029033; 	GO:0003873; GO:0005524; GO:0006003	6-phosphofructo-2-kinase activity [GO:0003873]; ATP binding [GO:0005524]; fructose 2,6-bisphosphate metabolic process [GO:0006003]	LINF_360006500			Predicted	Leishmania infantum	5671
A0A6L0XV99	A0A6L0XV99_LEIIN	Choline/ethanolamine_phosphotransferase_-_putative	IPR000462; IPR043130; IPR014472; 	GO:0004142; GO:0004307; GO:0016021	integral component of membrane [GO:0016021]; diacylglycerol cholinephosphotransferase activity [GO:0004142]; ethanolaminephosphotransferase activity [GO:0004307]	LINF_360068900			Predicted	Leishmania infantum	5671
A4IDF9	A4IDF9_LEIIN	Uncharacterized protein	IPR005612; IPR011501; IPR016903; 	GO:0005730	nucleolus [GO:0005730]	LINJ_36_1960			Inferred from homology	Leishmania infantum	5671
A0A6L0XVQ7	A0A6L0XVQ7_LEIIN	Ubiquitin-protein_ligase_-_putative	IPR044611; IPR000569; IPR035983; 	GO:0000209; GO:0016874; GO:0061630	ligase activity [GO:0016874]; ubiquitin protein ligase activity [GO:0061630]; protein polyubiquitination [GO:0000209]	LINF_300014700			Predicted	Leishmania infantum	5671
A0A6L0XKN9	A0A6L0XKN9_LEIIN	WD_domain_-_G-beta_repeat_-_putative	IPR032847; IPR015943; IPR001680; IPR019775; IPR036322; 	GO:0000398; GO:0005840; GO:0071013	catalytic step 2 spliceosome [GO:0071013]; ribosome [GO:0005840]; mRNA splicing, via spliceosome [GO:0000398]	LINF_250025300			Predicted	Leishmania infantum	5671
A0A6L0WMW1	A0A6L0WMW1_LEIIN	Mitogen-activated_protein_kinase_kinase_2	IPR011989; IPR016024; IPR000225; IPR045193; IPR011009; IPR000719; IPR017441; IPR008271; 	GO:0004672; GO:0005524; GO:0110165	cellular anatomical entity [GO:0110165]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	LINF_130009300			Predicted	Leishmania infantum	5671
A4I7C3	A4I7C3_LEIIN	Uncharacterized protein	IPR039692; IPR011047; IPR036322; 	GO:0005737; GO:0005856; GO:0042995	cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	LINJ_31_3290			Predicted	Leishmania infantum	5671
A0A6L0XHZ9	A0A6L0XHZ9_LEIIN	Protein_kinase_-_putative	IPR011009; IPR000719; IPR008271; IPR045162; IPR015943; IPR001680; IPR019775; IPR036322; 	GO:0004672; GO:0005524; GO:0005840	ribosome [GO:0005840]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	LINF_280023900			Predicted	Leishmania infantum	5671
A0A6L0WV57	A0A6L0WV57_LEIIN	cAMP_specific_phosphodiesterase_-_putative	IPR003018; IPR029016; IPR003607; IPR023088; IPR002073; IPR036971; IPR023174; 	GO:0004114; GO:0007165; GO:0046872	3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; metal ion binding [GO:0046872]; signal transduction [GO:0007165]	LINF_150022900			Predicted	Leishmania infantum	5671
A4HSR9	A4HSR9_LEIIN	Uncharacterized protein	IPR000253; IPR040227; IPR008984; 	GO:0006302; GO:0007095; GO:0030870	Mre11 complex [GO:0030870]; double-strand break repair [GO:0006302]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]	LINJ_06_0280			Predicted	Leishmania infantum	5671
A4I654	A4I654_LEIIN	Putative CYC2-like protein	IPR036915; IPR013922; 	GO:0000079; GO:0019901	protein kinase binding [GO:0019901]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]	CYC7 LINJ_30_3690			Predicted	Leishmania infantum	5671
A4HZQ7	A4HZQ7_LEIIN	Uncharacterized protein	IPR018108; IPR023395; 	GO:0016021	integral component of membrane [GO:0016021]	LINJ_22_0170			Inferred from homology	Leishmania infantum	5671
A0A6L0XDX7	A0A6L0XDX7_LEIIN	Pentamidine_resistance_protein_1	IPR003593; IPR011527; IPR036640; IPR003439; IPR017871; IPR044746; IPR044726; IPR027417; 	GO:0005524; GO:0016021; GO:0140359	integral component of membrane [GO:0016021]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]	LINF_230007300			Predicted	Leishmania infantum	5671
A0A6L0WRD7	A0A6L0WRD7_LEIIN	Cytochrome_b-domain_protein_-_putative	IPR001199; IPR036400; IPR018506; 	GO:0016021; GO:0020037; GO:0046872	integral component of membrane [GO:0016021]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	LINF_020005400			Predicted	Leishmania infantum	5671
E9AHK6	E9AHK6_LEIIN	Uncharacterized protein	IPR039309; IPR036259; 	GO:0016021	integral component of membrane [GO:0016021]	LINJ_31_0050			Inferred from homology	Leishmania infantum	5671
A4HXN4	A4HXN4_LEIIN	Uncharacterized protein	IPR002225; IPR036291; 	GO:0003854; GO:0006694; GO:0016853	3-beta-hydroxy-delta5-steroid dehydrogenase activity [GO:0003854]; isomerase activity [GO:0016853]; steroid biosynthetic process [GO:0006694]	LINJ_18_0080			Predicted	Leishmania infantum	5671
A0A6L0XXC0	A0A6L0XXC0_LEIIN	WD_domain_-_G-beta_repeat_-_putative	IPR037597; IPR037363; IPR015943; IPR001680; IPR036322; 	GO:0005198; GO:0015031; GO:1904263	structural molecule activity [GO:0005198]; positive regulation of TORC1 signaling [GO:1904263]; protein transport [GO:0015031]	LINF_320011400			Predicted	Leishmania infantum	5671
A4HU19	A4HU19_LEIIN	Elongation factor-1 gamma	IPR001662; IPR036433; IPR010987; IPR036282; IPR040079; IPR004045; IPR004046; IPR036249; 	GO:0003746; GO:0006749	translation elongation factor activity [GO:0003746]; glutathione metabolic process [GO:0006749]	EF1G LINJ_09_1030			Predicted	Leishmania infantum	5671
A4HSS6	A4HSS6_LEIIN	NAD(P)-dependent steroid dehydrogenase-like protein	IPR002225; IPR036291; 	GO:0003854; GO:0006694; GO:0016021	integral component of membrane [GO:0016021]; 3-beta-hydroxy-delta5-steroid dehydrogenase activity [GO:0003854]; steroid biosynthetic process [GO:0006694]	LINJ_06_0350			Predicted	Leishmania infantum	5671
A0A6L0XJ32	A0A6L0XJ32_LEIIN	Hypothetical_protein_-_conserved		GO:0016021	integral component of membrane [GO:0016021]	LINF_230007500			Predicted	Leishmania infantum	5671
A0A6L0XFE5	A0A6L0XFE5_LEIIN	ABC_transporter_-_mitochondrial_-_putative	IPR003593; IPR011527; IPR036640; IPR003439; IPR017871; IPR030260; IPR027417; IPR039421; 	GO:0005524; GO:0016021; GO:0140359	integral component of membrane [GO:0016021]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]	LINF_250010500			Predicted	Leishmania infantum	5671
A4HYN2	A4HYN2_LEIIN	Uncharacterized protein	IPR015797; IPR000086; IPR039121; 	GO:0016787; GO:0046872	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	LINJ_20_0450			Predicted	Leishmania infantum	5671
A4I3H6	A4I3H6_LEIIN	Uncharacterized protein	IPR005016; IPR029559; 	GO:0016021	integral component of membrane [GO:0016021]	LINJ_28_1080			Inferred from homology	Leishmania infantum	5671
A4IBT1	A4IBT1_LEIIN	Uncharacterized protein	IPR007881; 	GO:0016021	integral component of membrane [GO:0016021]	LINJ_35_3980			Inferred from homology	Leishmania infantum	5671
A0A6L0XPX9	A0A6L0XPX9_LEIIN	Importin_beta-1_subunit_-_putative	IPR011989; IPR016024; IPR001494; IPR040122; 	GO:0005737; GO:0006606; GO:0031267	cytoplasm [GO:0005737]; small GTPase binding [GO:0031267]; protein import into nucleus [GO:0006606]	LINF_340010100			Predicted	Leishmania infantum	5671
A4I4C8	A4I4C8_LEIIN	Putative U3 small nucleolar ribonucleoprotein protein MPP10	IPR012173; 	GO:0005732; GO:0006364; GO:0034457	Mpp10 complex [GO:0034457]; sno(s)RNA-containing ribonucleoprotein complex [GO:0005732]; rRNA processing [GO:0006364]	LINJ_29_0780			Predicted	Leishmania infantum	5671
A0A6L0WJ82	A0A6L0WJ82_LEIIN	Translation_initiation_factor_EIF-2B_gamma_subunit_-__putative	IPR015256; IPR044128; IPR027417; IPR000795; IPR009000; IPR009001; 	GO:0003743; GO:0003924; GO:0005525	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation initiation factor activity [GO:0003743]	LINF_090018200			Predicted	Leishmania infantum	5671
A0A6L0XFQ8	A0A6L0XFQ8_LEIIN	Aminopeptidase-like_protein	IPR045357; IPR042097; IPR024571; IPR034016; IPR001930; IPR014782; IPR027268; 	GO:0004177; GO:0008237; GO:0008270	aminopeptidase activity [GO:0004177]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]	LINF_260008000			Predicted	Leishmania infantum	5671
A4I200	A4I200_LEIIN	Uncharacterized protein	IPR013784; IPR039163; IPR019008; 	GO:0005789; GO:0016021; GO:0030246	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]	LINJ_26_0650			Predicted	Leishmania infantum	5671
A0A6L0XG36	A0A6L0XG36_LEIIN	Periodic_tryptophan_protein_2_homolog_-_putative	IPR027145; IPR007148; IPR015943; IPR001680; IPR019775; IPR036322; 	GO:0005730; GO:0005840; GO:0006364	nucleolus [GO:0005730]; ribosome [GO:0005840]; rRNA processing [GO:0006364]	LINF_180013500			Predicted	Leishmania infantum	5671
A0A6L0XPL2	A0A6L0XPL2_LEIIN	Pentamidine_resistance_protein_1	IPR003593; IPR011527; IPR036640; IPR003439; IPR017871; IPR044746; IPR044726; IPR027417; 	GO:0005524; GO:0016021; GO:0140359	integral component of membrane [GO:0016021]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]	LINF_230007200			Predicted	Leishmania infantum	5671
A4HT53	A4HT53_LEIIN	Uncharacterized protein	IPR008010; 	GO:0016021	integral component of membrane [GO:0016021]	LINJ_07_0310			Inferred from homology	Leishmania infantum	5671
A0A6L0XTD0	A0A6L0XTD0_LEIIN	Hypothetical_protein_-_conserved		GO:0016021	integral component of membrane [GO:0016021]	LINF_330038500			Predicted	Leishmania infantum	5671
A0A6L0XMW9	A0A6L0XMW9_LEIIN	Nucleolar_GTP-binding_protein_-_putative	IPR031167; IPR006073; IPR024926; IPR041623; IPR010674; IPR012973; IPR027417; 	GO:0005525; GO:0005730; GO:0042254	nucleolus [GO:0005730]; GTP binding [GO:0005525]; ribosome biogenesis [GO:0042254]	LINF_330027200			Predicted	Leishmania infantum	5671
A0A6L0XIN5	A0A6L0XIN5_LEIIN	Differentiation_inhibitory_kinase_-_putative	IPR000961; IPR011009; IPR024311; IPR000719; IPR017441; IPR001683; IPR036871; IPR008271; IPR045270; IPR011011; 	GO:0004674; GO:0005524; GO:0035091	ATP binding [GO:0005524]; phosphatidylinositol binding [GO:0035091]; protein serine/threonine kinase activity [GO:0004674]	LINF_280023100			Predicted	Leishmania infantum	5671
A4I867	A4I867_LEIIN	Uncharacterized protein	IPR043519; IPR002058; 	GO:0005737; GO:0050265; GO:0071076	cytoplasm [GO:0005737]; RNA uridylyltransferase activity [GO:0050265]; RNA 3' uridylation [GO:0071076]	LINJ_32_2600			Predicted	Leishmania infantum	5671
A0A6L0XKY0	A0A6L0XKY0_LEIIN	C-1-tetrahydrofolate_synthase_-_cytoplasmic_-_putative	IPR036291; IPR000672; IPR020630; IPR020867; IPR020631; 	GO:0004477; GO:0004488; GO:0006730	methenyltetrahydrofolate cyclohydrolase activity [GO:0004477]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]; one-carbon metabolic process [GO:0006730]	LINF_260008200			Inferred from homology	Leishmania infantum	5671
A0A6L0XU41	A0A6L0XU41_LEIIN	Kinesin-like_protein_-_putative	IPR027640; IPR001752; IPR036961; IPR027417; 	GO:0005524; GO:0007018; GO:0008017	ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule-based movement [GO:0007018]	LINF_360061000			Predicted	Leishmania infantum	5671
E9AH12	E9AH12_LEIIN	Oxidoreductase-like protein	IPR000683; IPR036291; 	GO:0000166	nucleotide binding [GO:0000166]	LINJ_23_0630			Predicted	Leishmania infantum	5671
A0A6L0XUW1	A0A6L0XUW1_LEIIN	Protein_kinase_-_putative	IPR006633; IPR011009; IPR007742; IPR022441; IPR006626; IPR012334; IPR011050; IPR000719; IPR008271; IPR000315; 	GO:0004672; GO:0005524; GO:0008270	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; zinc ion binding [GO:0008270]	LINF_300026700			Predicted	Leishmania infantum	5671
A4HXK6	A4HXK6_LEIIN	Putative translation initiation factor	IPR011400; IPR013979; 	GO:0003743; GO:0005852; GO:0031369	eukaryotic translation initiation factor 3 complex [GO:0005852]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]	LINJ_17_1390			Predicted	Leishmania infantum	5671
A4I0Z5	A4I0Z5_LEIIN	Putative cyclin 11	IPR036915; IPR013922; 	GO:0000079; GO:0019901	protein kinase binding [GO:0019901]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]	CYC11 LINJ_24_1950			Predicted	Leishmania infantum	5671
